,Rank,City,State,Population,Latitude,Longitude,Address,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
14,15,San Francisco,California,"883,305",37.7272,-123.0322,"San Francisco, California",3,Seafood Restaurant,American Restaurant,Sandwich Place,Pizza Place,Bakery,Café,Deli / Bodega,Korean Restaurant,Burger Joint,Chinese Restaurant,Italian Restaurant,New American Restaurant,Mexican Restaurant,Sushi Restaurant,Indian Restaurant,Dumpling Restaurant,Caribbean Restaurant,Czech Restaurant,Udon Restaurant,Filipino Restaurant,Asian Restaurant,Breakfast Spot,Ethiopian Restaurant,Peruvian Restaurant,Vietnamese Restaurant
15,16,Charlotte,North Carolina,"872,498",35.2078,-80.831,"Charlotte, North Carolina",0,American Restaurant,Pizza Place,Italian Restaurant,Burger Joint,Steakhouse,Bakery,Mexican Restaurant,Asian Restaurant,Southern / Soul Food Restaurant,Deli / Bodega,Diner,Vegetarian / Vegan Restaurant,BBQ Joint,Irish Pub,Breakfast Spot,Café,Peruvian Restaurant,Sushi Restaurant,French Restaurant,Vietnamese Restaurant,Gastropub,Noodle House,Latin American Restaurant,New American Restaurant,Donut Shop
16,17,Indianapolis,Indiana,"867,125",39.7767,-86.1459,"Indianapolis, Indiana",0,American Restaurant,Pizza Place,Mexican Restaurant,Sandwich Place,New American Restaurant,Breakfast Spot,Café,Italian Restaurant,Bakery,Steakhouse,Vietnamese Restaurant,Burger Joint,Deli / Bodega,Cajun / Creole Restaurant,Southern / Soul Food Restaurant,Soup Place,Diner,Seafood Restaurant,Latin American Restaurant,Food Court,Mediterranean Restaurant,Fast Food Restaurant,Middle Eastern Restaurant,Donut Shop,Churrascaria
17,18,Seattle,Washington,"744,955",47.6205,-122.3509,"Seattle, Washington",5,Italian Restaurant,Bakery,Seafood Restaurant,American Restaurant,Vietnamese Restaurant,French Restaurant,Breakfast Spot,Sandwich Place,Pizza Place,Sushi Restaurant,Japanese Restaurant,Café,Donut Shop,Dumpling Restaurant,Taco Place,Thai Restaurant,Poke Place,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Mediterranean Restaurant,Korean Restaurant,Malay Restaurant,Caribbean Restaurant,Ramen Restaurant,Deli / Bodega
18,19,Denver,Colorado,"716,492",39.7619,-104.8811,"Denver, Colorado",6,American Restaurant,Italian Restaurant,Sandwich Place,Breakfast Spot,Mexican Restaurant,Burger Joint,Pizza Place,New American Restaurant,Taco Place,Asian Restaurant,Steakhouse,Vegetarian / Vegan Restaurant,Sushi Restaurant,Gastropub,French Restaurant,Fast Food Restaurant,Mediterranean Restaurant,Cuban Restaurant,BBQ Joint,Hot Dog Joint,Comfort Food Restaurant,Food Court,Donut Shop,Chinese Restaurant,Cajun / Creole Restaurant
19,20,"Washington, D.C.",District of Columbia,"702,455",38.9041,-77.0172,"Washington, D.C., District of Columbia",0,Pizza Place,American Restaurant,Mediterranean Restaurant,Italian Restaurant,New American Restaurant,Indian Restaurant,Seafood Restaurant,Thai Restaurant,Café,Mexican Restaurant,Ramen Restaurant,Taco Place,Bakery,Food Truck,Sandwich Place,Asian Restaurant,Falafel Restaurant,French Restaurant,Steakhouse,Spanish Restaurant,Burger Joint,Salad Place,Poke Place,Deli / Bodega,Noodle House
20,21,Boston,Massachusetts,"694,583",42.332,-71.0202,"Boston, Massachusetts",3,Italian Restaurant,Bakery,Seafood Restaurant,Pizza Place,American Restaurant,Mexican Restaurant,Sandwich Place,French Restaurant,New American Restaurant,Café,Gastropub,Vegetarian / Vegan Restaurant,Greek Restaurant,Sushi Restaurant,Breakfast Spot,BBQ Joint,Japanese Restaurant,Australian Restaurant,Asian Restaurant,Diner,Latin American Restaurant,Arepa Restaurant,Chinese Restaurant,Hot Dog Joint,Jewish Restaurant
21,22,El Paso,Texas,"682,669",31.8484,-106.427,"El Paso, Texas",1,Mexican Restaurant,Burger Joint,Pizza Place,Café,BBQ Joint,Sushi Restaurant,Seafood Restaurant,Taco Place,American Restaurant,Fast Food Restaurant,Bakery,Italian Restaurant,Burrito Place,Steakhouse,Japanese Restaurant,Breakfast Spot,Deli / Bodega,Spanish Restaurant,Fried Chicken Joint,Diner,Chinese Restaurant,Sandwich Place,Food Truck,Donut Shop,Wings Joint
22,23,Detroit,Michigan,"672,662",42.383,-83.1022,"Detroit, Michigan",0,Pizza Place,Italian Restaurant,Diner,Bakery,American Restaurant,Mexican Restaurant,Sandwich Place,Burger Joint,Breakfast Spot,Middle Eastern Restaurant,Sushi Restaurant,Mediterranean Restaurant,Deli / Bodega,Café,Steakhouse,New American Restaurant,Bagel Shop,BBQ Joint,Thai Restaurant,Seafood Restaurant,Asian Restaurant,Donut Shop,Romanian Restaurant,Vegetarian / Vegan Restaurant,Salad Place
23,24,Nashville,Tennessee,"669,053",36.1718,-86.785,"Nashville, Tennessee",0,Pizza Place,American Restaurant,Italian Restaurant,BBQ Joint,Burger Joint,Sandwich Place,Southern / Soul Food Restaurant,Steakhouse,Café,Fried Chicken Joint,Bakery,Taco Place,Mexican Restaurant,Caribbean Restaurant,New American Restaurant,Sushi Restaurant,Breakfast Spot,Diner,Greek Restaurant,Gastropub,Deli / Bodega,Tapas Restaurant,French Restaurant,Thai Restaurant,Food Truck
24,25,Portland,Oregon,"653,115",45.537,-122.65,"Portland, Oregon",5,Bakery,Sandwich Place,Food Truck,Pizza Place,Breakfast Spot,Thai Restaurant,Sushi Restaurant,French Restaurant,Vegetarian / Vegan Restaurant,American Restaurant,Café,Scandinavian Restaurant,Middle Eastern Restaurant,Donut Shop,Southern / Soul Food Restaurant,Mexican Restaurant,Latin American Restaurant,Wings Joint,Italian Restaurant,Israeli Restaurant,Tapas Restaurant,Vietnamese Restaurant,Indian Restaurant,Gastropub,Korean Restaurant
25,26,Memphis,Tennessee,"650,618",35.1028,-89.9774,"Memphis, Tennessee",2,American Restaurant,Burger Joint,BBQ Joint,Pizza Place,Mexican Restaurant,Café,Italian Restaurant,Breakfast Spot,New American Restaurant,Seafood Restaurant,Fried Chicken Joint,Deli / Bodega,Southern / Soul Food Restaurant,Fast Food Restaurant,Cajun / Creole Restaurant,Tapas Restaurant,Donut Shop,Middle Eastern Restaurant,Sushi Restaurant,Bakery,Japanese Restaurant,Sandwich Place,Steakhouse,Thai Restaurant,Diner
26,27,Oklahoma City,Oklahoma,"649,021",35.4671,-97.5137,"Oklahoma City, Oklahoma",2,American Restaurant,Burger Joint,Pizza Place,Steakhouse,Fast Food Restaurant,Sandwich Place,BBQ Joint,Vietnamese Restaurant,New American Restaurant,Asian Restaurant,Mexican Restaurant,Seafood Restaurant,Sushi Restaurant,Café,Breakfast Spot,Japanese Restaurant,Comfort Food Restaurant,Ramen Restaurant,French Restaurant,Bakery,Gastropub,German Restaurant,Latin American Restaurant,Mediterranean Restaurant,Korean Restaurant
27,28,Las Vegas,Nevada,"644,644",36.2292,-115.2601,"Las Vegas, Nevada",2,American Restaurant,Sushi Restaurant,Japanese Restaurant,Steakhouse,Breakfast Spot,Mexican Restaurant,Pizza Place,Seafood Restaurant,Sandwich Place,Italian Restaurant,Thai Restaurant,French Restaurant,Café,Vietnamese Restaurant,Noodle House,Taco Place,Fast Food Restaurant,Cajun / Creole Restaurant,Burger Joint,Diner,Snack Place,Korean Restaurant,Cuban Restaurant,English Restaurant,Asian Restaurant
28,29,Louisville,Kentucky,"620,118",38.1654,-85.6474,"Louisville, Kentucky",1,Pizza Place,Breakfast Spot,Bakery,Mexican Restaurant,BBQ Joint,Deli / Bodega,American Restaurant,Steakhouse,Fast Food Restaurant,Sandwich Place,Fried Chicken Joint,Sushi Restaurant,Cuban Restaurant,Burger Joint,New American Restaurant,Seafood Restaurant,Latin American Restaurant,Gastropub,Indian Restaurant,Chinese Restaurant,Japanese Restaurant,Italian Restaurant,Vietnamese Restaurant,Donut Shop,Hot Dog Joint
29,30,Baltimore,Maryland,"602,495",39.3,-76.6105,"Baltimore, Maryland",3,Pizza Place,Seafood Restaurant,American Restaurant,Deli / Bodega,Italian Restaurant,Café,Bakery,Sandwich Place,Mexican Restaurant,Gastropub,BBQ Joint,Fast Food Restaurant,Breakfast Spot,Sushi Restaurant,Diner,Middle Eastern Restaurant,Mediterranean Restaurant,Taco Place,Latin American Restaurant,Food Court,Salad Place,Moroccan Restaurant,New American Restaurant,Falafel Restaurant,Persian Restaurant
