,Rank,City,State,Population,Venue Name,Type,Latitude,Longitude
62,1,New York City,New York,"8,398,748",Paulie Gee’s,Pizza Place,40.729801246987186,-73.95852046352437
63,1,New York City,New York,"8,398,748",sweetgreen,Restaurant,40.705586,-74.008382
64,1,New York City,New York,"8,398,748",Champion Pizza - Ludlow,Pizza Place,40.71919049649514,-73.98884975757942
65,1,New York City,New York,"8,398,748",Doughnut Plant,Donut Shop,40.716303,-73.988579
66,1,New York City,New York,"8,398,748",Archestratus Books & Foods,Restaurant,40.732905,-73.955365
67,1,New York City,New York,"8,398,748",Russ & Daughters Café,Café,40.719515,-73.989724
68,1,New York City,New York,"8,398,748",Ovenly,Bakery,40.729707682840896,-73.95954448458306
69,1,New York City,New York,"8,398,748",Sunny & Annie Gourmet Deli,Deli / Bodega,40.7245900224479,-73.98160026960855
70,1,New York City,New York,"8,398,748",Post,Breakfast Spot,40.72290131939493,-73.9828461537554
71,1,New York City,New York,"8,398,748",Bobwhite Counter,Fried Chicken Joint,40.72371540124411,-73.97912098228069
72,1,New York City,New York,"8,398,748",Bakeri,Bakery,40.73426471796698,-73.95755265756051
73,1,New York City,New York,"8,398,748",Simple,Asian Restaurant,40.71814514203096,-73.99198775758143
74,1,New York City,New York,"8,398,748",Arcade Bakery,Bakery,40.71707213063327,-74.00660521707641
75,1,New York City,New York,"8,398,748",CAVA,Mediterranean Restaurant,40.72192791798716,-73.99651188343245
76,1,New York City,New York,"8,398,748",Upstate Craft Beer and Oyster Bar,Seafood Restaurant,40.726331,-73.986453
77,1,New York City,New York,"8,398,748",Uncle Boons,Thai Restaurant,40.721199904425575,-73.99446256625156
78,1,New York City,New York,"8,398,748",Rubirosa Ristorante,Italian Restaurant,40.72270625453151,-73.99595719792266
79,1,New York City,New York,"8,398,748",Fish Cheeks,Thai Restaurant,40.725861003633504,-73.99253343981425
80,1,New York City,New York,"8,398,748",Ramen Ishida,Asian Restaurant,40.71969454557356,-73.98853827163808
81,1,New York City,New York,"8,398,748",Kura,Japanese Restaurant,40.726802644699376,-73.98344407523645
82,1,New York City,New York,"8,398,748",Emmy Squared,Pizza Place,40.72586676457121,-73.98663786068168
83,1,New York City,New York,"8,398,748",Cafe Mogador,Moroccan Restaurant,40.72727735358458,-73.98450529800188
84,1,New York City,New York,"8,398,748",Miss Lily's 7A,Caribbean Restaurant,40.72605803974587,-73.98368581540872
85,1,New York City,New York,"8,398,748",Pisillo Italian Panini,Sandwich Place,40.710530084460785,-74.00752571804911
86,1,New York City,New York,"8,398,748",Despaña,Spanish Restaurant,40.72114442373172,-73.99796266127038
87,1,New York City,New York,"8,398,748",Cocoron,Noodle House,40.72074246031966,-73.99522619851668
88,1,New York City,New York,"8,398,748",Champion Pizza Soho,Pizza Place,40.721637542248196,-73.99747002195814
89,1,New York City,New York,"8,398,748",Ruby's Café,Australian Restaurant,40.722292,-73.996248
90,1,New York City,New York,"8,398,748",sweetgreen,Salad Place,40.7211844,-73.9971105
91,1,New York City,New York,"8,398,748",Shake Shack,Burger Joint,40.72999845323382,-73.9896956893842
92,1,New York City,New York,"8,398,748",Prince Street Pizza,Pizza Place,40.72309326145674,-73.99452729447745
93,1,New York City,New York,"8,398,748",Brooklyn Bagel & Coffee Company,Bagel Shop,40.730912575619136,-73.9932591437105
94,1,New York City,New York,"8,398,748",Court Street Grocers,Sandwich Place,40.728806,-73.998471
95,1,New York City,New York,"8,398,748",Takahachi Bakery,Bakery,40.713652845301894,-74.0088038953017
96,1,New York City,New York,"8,398,748",Housing Works Bookstore Cafe,Café,40.72467539483391,-73.9966368227625
97,1,New York City,New York,"8,398,748",Chobani,Restaurant,40.72581867292355,-74.00098495024535
98,1,New York City,New York,"8,398,748",Hudson Eats,Food Court,40.712802562960505,-74.01610221841605
99,1,New York City,New York,"8,398,748",Taverna Kyclades,Greek Restaurant,40.731354,-73.983021
0,2,Los Angeles,California,"3,990,456",N/Naka,Japanese Restaurant,34.02516179681808,-118.41218967974653
1,2,Los Angeles,California,"3,990,456",BKK101,Thai Restaurant,34.013624354711745,-118.41682485065836
2,2,Los Angeles,California,"3,990,456",Hatchet Hall,New American Restaurant,33.99696097391234,-118.43150679049957
3,2,Los Angeles,California,"3,990,456",Tocaya Organica - Century City,Mexican Restaurant,34.058034302928704,-118.41877718247504
4,2,Los Angeles,California,"3,990,456",JR's Barbeque,BBQ Joint,34.03063280489456,-118.372388873423
5,2,Los Angeles,California,"3,990,456",Chick-fil-A,Fast Food Restaurant,33.9862666,-118.4007615
6,2,Los Angeles,California,"3,990,456",Din Tai Fung,Chinese Restaurant,34.05791578577279,-118.41748209895631
7,2,Los Angeles,California,"3,990,456",Superba Food + Bread,New American Restaurant,33.99623708171249,-118.45647142998456
8,2,Los Angeles,California,"3,990,456",Javier’s,Mexican Restaurant,34.05913043221902,-118.4207832813263
9,2,Los Angeles,California,"3,990,456",Randy's Donuts,Donut Shop,34.059332729305424,-118.41868537124026
10,2,Los Angeles,California,"3,990,456",Mendocino Farms,American Restaurant,33.978782,-118.437848
11,2,Los Angeles,California,"3,990,456",Urth Caffé,Café,34.06262037220222,-118.39920632161245
12,2,Los Angeles,California,"3,990,456",Deus Ex Machina,Café,33.99437103525977,-118.45293338873445
13,2,Los Angeles,California,"3,990,456",SUGARFISH by sushi nozawa,Sushi Restaurant,34.068183045049516,-118.39850984469638
14,2,Los Angeles,California,"3,990,456",The Belvedere,American Restaurant,34.065711752808134,-118.41035707349882
15,2,Los Angeles,California,"3,990,456",Delicious Pizza,Pizza Place,34.032693160507705,-118.3608762021538
16,2,Los Angeles,California,"3,990,456",Madeo,Italian Restaurant,34.068374598256604,-118.40386791500717
17,2,Los Angeles,California,"3,990,456",Scopa Italian Roots,Italian Restaurant,33.98847020541515,-118.45154684161223
18,2,Los Angeles,California,"3,990,456",Wurstküche,German Restaurant,33.999783127082104,-118.46489479185719
19,2,Los Angeles,California,"3,990,456",SUGARFISH | Marina del Rey,Sushi Restaurant,33.97891137622885,-118.43805273083227
20,2,Los Angeles,California,"3,990,456",Rubio's Coastal Grill,Seafood Restaurant,33.986195,-118.443272
21,2,Los Angeles,California,"3,990,456",Bondi Harvest,Australian Restaurant,34.03152294157293,-118.46276866696846
22,2,Los Angeles,California,"3,990,456",The Boiling Crab,Seafood Restaurant,34.0607943595355,-118.44456214617544
23,2,Los Angeles,California,"3,990,456",Night + Market Sahm,Thai Restaurant,33.99152618032224,-118.44880393549717
24,2,Los Angeles,California,"3,990,456",Bandera,American Restaurant,34.049221710283966,-118.46097758321218
25,2,Los Angeles,California,"3,990,456",KazuNori,Sushi Restaurant,34.059927393167996,-118.44615861375395
26,2,Los Angeles,California,"3,990,456",La Provence Patisserie & Cafe,French Restaurant,34.059267850430544,-118.38727802911762
27,2,Los Angeles,California,"3,990,456",Mike's Deli,Deli / Bodega,33.9881013,-118.3625166
28,2,Los Angeles,California,"3,990,456",Gjelina,New American Restaurant,33.9905443722471,-118.46496016256263
29,2,Los Angeles,California,"3,990,456",GTA  (Gjelina Take Away),Café,33.990446775695894,-118.46505670980008
30,2,Los Angeles,California,"3,990,456",208 Rodeo Restaurant,American Restaurant,34.06727414364053,-118.40075453664217
31,2,Los Angeles,California,"3,990,456",Tocaya Organica,Mexican Restaurant,33.986651266434144,-118.47159669165187
32,2,Los Angeles,California,"3,990,456",THE Blvd,American Restaurant,34.06717824189004,-118.40099046313375
33,2,Los Angeles,California,"3,990,456",Gjusta,Café,33.99510338284028,-118.47444691981889
34,2,Los Angeles,California,"3,990,456",Poke Me,Poke Place,34.05792634017781,-118.44321666547468
35,2,Los Angeles,California,"3,990,456",Mastro's Steakhouse,Steakhouse,34.0688161,-118.3988427
36,2,Los Angeles,California,"3,990,456",La Isla Bonita,Food Truck,33.99654338778202,-118.47702411734572
37,2,Los Angeles,California,"3,990,456",Felix Trattoria,Italian Restaurant,33.99220863133644,-118.47181868725717
38,2,Los Angeles,California,"3,990,456",Café Gratitude,Vegetarian / Vegan Restaurant,33.998152665858285,-118.47381095450288
39,2,Los Angeles,California,"3,990,456",Baltaire,Steakhouse,34.05406769197331,-118.46426068677535
40,2,Los Angeles,California,"3,990,456",Il Pastaio,Italian Restaurant,34.07073918796388,-118.40080037177384
41,2,Los Angeles,California,"3,990,456",Lawry's The Prime Rib,Steakhouse,34.06788677381877,-118.37612208798915
42,2,Los Angeles,California,"3,990,456",Meals By Genet,Ethiopian Restaurant,34.0566770607023,-118.3646312230495
43,2,Los Angeles,California,"3,990,456",Great White,Australian Restaurant,33.98763760842119,-118.47200184126623
44,2,Los Angeles,California,"3,990,456",Pizzeria Il Fico,Pizza Place,34.07317240374065,-118.3836210809518
45,2,Los Angeles,California,"3,990,456",Jon & Vinny’s,Italian Restaurant,34.052291220601155,-118.47148891709722
46,2,Los Angeles,California,"3,990,456",venice ramen,Restaurant,33.983144899274095,-118.46081705925708
47,2,Los Angeles,California,"3,990,456",The Ivy,American Restaurant,34.07569575096105,-118.38382214734708
48,2,Los Angeles,California,"3,990,456",Joan's on Third,Café,34.072820607435126,-118.37184744336331
49,2,Los Angeles,California,"3,990,456",Pizzana,Pizza Place,34.05349524755987,-118.46598932985572
50,2,Los Angeles,California,"3,990,456",Sunny Blue,Japanese Restaurant,34.00033852588149,-118.48202680583407
51,2,Los Angeles,California,"3,990,456",Forma Restaurant & Cheese Bar,Italian Restaurant,34.03388026769416,-118.4927930102135
52,2,Los Angeles,California,"3,990,456",Milo and Olive,Bakery,34.03744148253109,-118.47591168192717
53,2,Los Angeles,California,"3,990,456",The Bazaar by José Andrés,Tapas Restaurant,34.069868857451134,-118.37656435675692
54,2,Los Angeles,California,"3,990,456",Mendocino Farms,Sandwich Place,34.021141745178774,-118.49587009269264
55,2,Los Angeles,California,"3,990,456",Gracias Madre,Mexican Restaurant,34.0809714280427,-118.38697774974547
56,2,Los Angeles,California,"3,990,456",Los Anaya Authentic Mexican Food,Mexican Restaurant,34.03263980480147,-118.34166870546942
57,2,Los Angeles,California,"3,990,456",Sweetfin Poké,Poke Place,34.018590578430036,-118.4893575753661
58,2,Los Angeles,California,"3,990,456",SUGARFISH | Santa Monica,Sushi Restaurant,34.015238079523634,-118.49737728980209
59,2,Los Angeles,California,"3,990,456",sweetgreen,Salad Place,34.0722028,-118.3650402
60,2,Los Angeles,California,"3,990,456",Koi Restaurant,Sushi Restaurant,34.08453031847505,-118.37629291041219
61,2,Los Angeles,California,"3,990,456",sweetgreen,Restaurant,34.01697555133612,-118.49551767110819
62,2,Los Angeles,California,"3,990,456",Cha Cha Chicken,Caribbean Restaurant,34.0072064640575,-118.49023218743308
63,2,Los Angeles,California,"3,990,456",Urth Caffé,Café,34.08203396030007,-118.37876609457983
64,2,Los Angeles,California,"3,990,456",Yuko Kitchen,Japanese Restaurant,34.06186636603784,-118.34835785012244
65,2,Los Angeles,California,"3,990,456",Urth Caffé,Café,34.004250515068684,-118.48584858005964
66,2,Los Angeles,California,"3,990,456",Monsieur Marcel Gourmet Market & Restaurant,French Restaurant,34.07171799696078,-118.35998703979183
67,2,Los Angeles,California,"3,990,456",In-N-Out Burger,Burger Joint,33.95365824883238,-118.39689650175201
68,2,Los Angeles,California,"3,990,456",Jon & Vinny's,Italian Restaurant,34.07863285291522,-118.36135119817128
69,2,Los Angeles,California,"3,990,456",Tender Greens,Salad Place,34.01642631916953,-118.49858334218415
70,2,Los Angeles,California,"3,990,456",Zinque,French Restaurant,34.081432996685976,-118.38280170275537
71,2,Los Angeles,California,"3,990,456",True Food Kitchen,Restaurant,34.0129682,-118.4944629
72,2,Los Angeles,California,"3,990,456",El Chato Taco Truck,Food Truck,34.05723738190777,-118.34587807507764
73,2,Los Angeles,California,"3,990,456",Aburiya Raku,Japanese Restaurant,34.08080618911767,-118.37678643838859
74,2,Los Angeles,California,"3,990,456",Santa Monica Seafood,Seafood Restaurant,34.023755973956206,-118.49226515873083
75,2,Los Angeles,California,"3,990,456",Pampas Grill Farmers Market,Brazilian Restaurant,34.072202629632514,-118.3603485206216
76,2,Los Angeles,California,"3,990,456",Veggie Grill,Vegetarian / Vegan Restaurant,34.07333424806912,-118.36078671390689
77,2,Los Angeles,California,"3,990,456",BOA Steakhouse,Steakhouse,34.090123227448,-118.3925368515205
78,2,Los Angeles,California,"3,990,456",Orleans & York Deli,Cajun / Creole Restaurant,33.96712638406931,-118.35027054121103
79,2,Los Angeles,California,"3,990,456",Kazunori,Sushi Restaurant,34.01316367497552,-118.49592903211466
80,2,Los Angeles,California,"3,990,456",Crossroads Kitchen,Vegetarian / Vegan Restaurant,34.08355377036199,-118.37021756510343
81,2,Los Angeles,California,"3,990,456",Cassia,Asian Restaurant,34.01975737547978,-118.49366773187546
82,2,Los Angeles,California,"3,990,456",Angelini Osteria,Italian Restaurant,34.076286159463656,-118.34913979150514
83,2,Los Angeles,California,"3,990,456",Sushi Nagao,Sushi Restaurant,34.04825641428659,-118.49126410997235
84,2,Los Angeles,California,"3,990,456",Genwa Korean BBQ,Korean Restaurant,34.062284966141384,-118.34103677449716
85,2,Los Angeles,California,"3,990,456",Tocaya - Santa Monica,Mexican Restaurant,34.0202511794541,-118.49699152983126
86,2,Los Angeles,California,"3,990,456",Nobu,Sushi Restaurant,34.08713757621938,-118.37662566483638
87,2,Los Angeles,California,"3,990,456",The Sycamore Kitchen,Restaurant,34.0723948576579,-118.34427353047325
