,City,State,Population,Latitude,Longitude
7,Las Cruces,New Mexico,"102,926",32.3264,-106.7897
0,Laredo,Texas,"261,639",27.5604,-99.4892
1,Lubbock,Texas,"255,885",33.5656,-101.8867
2,Amarillo,Texas,"199,924",35.1999,-101.8302
3,Brownsville,Texas,"183,392",25.9991,-97.455
4,Midland,Texas,"142,344",32.0246,-102.1135
5,Odessa,Texas,"120,568",31.8838,-102.3411
6,Wichita Falls,Texas,"104,576",33.9067,-98.5259
8,San Angelo,Texas,"100,215",31.4411,-100.4505
